pgs_c pgs_m pgs_f
1.29455 1.13697 -0.0832035
0.967536 -0.309593 1.16268
1.35889 0.909971 2.30603
-0.411564 -0.388419 -0.74457
-0.303143 0.0558865 0.0916823
1.09871 0.756543 2.02455
-0.522882 0.199389 -1.16069
-0.0309008 0.543582 -0.76139
0.611351 0.165825 0.0192726
0.451373 -0.274797 0.809732
1.18298 0.54406 1.16794
0.725384 0.615512 0.399822
-0.492595 0.697932 -0.507977
0.0118136 -0.891981 -0.453179
-0.17589 -1.14844 0.116226
-1.32654 -0.613477 -1.58509
0.124945 -0.0139919 -0.424613
-0.222116 1.07543 -0.720771
0.681955 0.443097 -0.313766
0.415051 2.06949 -0.120087
1.05734 0.825512 1.84716
-0.231753 -0.300019 -0.154361
0.0644252 0.906689 -0.0596251
0.0691986 0.265891 0.0607361
1.10599 1.18108 0.778944
-0.0338054 -0.966629 0.939374
0.442025 -0.0593801 0.906379
0.809853 -0.661786 1.09543
1.30048 1.31615 1.03814
0.907876 1.04535 1.43315
-0.98267 0.00362539 0.187784
1.00604 0.450713 1.01718
-1.01917 -0.392916 -1.12822
-0.104179 -0.147543 0.296339
2.02925 1.23297 3.17316
0.631971 1.18819 -0.221339
-0.0551995 -0.266321 0.269692
0.556365 -1.00936 0.776945
1.0622 0.638528 -0.0488091
-0.266007 -0.644398 -0.794654
-1.66389 -1.81246 -0.741951
-0.748633 0.254821 -1.98274
-0.111775 0.26057 -0.211172
-0.453609 -0.350347 -0.987583
0.333974 1.06471 0.92778
-0.0989225 -0.344896 0.787681
0.043838 0.531368 -0.372498
-0.552112 -1.40919 -0.173874
0.413654 0.23798 0.135982
-0.011795 0.518455 -0.49447
0.818387 -0.0617563 0.793707
0.693054 -0.31547 -0.123442
1.43864 0.490335 1.19128
0.505024 -0.143976 1.34575
0.110074 -0.991517 0.770155
-0.626467 0.125923 0.268778
0.225274 0.370174 -0.369273
0.63324 1.19176 0.83946
0.00500586 0.452934 0.461419
0.147978 -0.544117 -0.760594
0.320937 0.624061 1.09815
-0.541167 -0.251286 0.599273
-1.58932 -1.77331 -0.287314
-0.589805 0.236511 -1.26446
0.237213 -0.0559256 1.27866
2.01767 1.83126 0.722627
0.74633 0.279706 -0.595174
0.96603 0.406255 0.784844
0.258248 -0.133481 0.863551
1.51949 0.525869 0.440727
0.665789 0.925553 1.29113
1.21804 1.5842 0.762175
0.229774 0.145108 0.274583
0.109099 -0.373776 -0.661389
1.32805 0.85912 1.74482
0.913405 0.833383 -0.648342
-0.259821 -0.423361 -0.0431854
0.682356 0.190802 0.484523
-1.1126 0.361444 -1.28461
-0.489396 -0.279392 -0.238729
-0.460243 0.0677103 -0.0132674
0.932593 -0.00466938 0.858663
-0.417552 1.0444 -0.499955
0.622122 0.0371576 0.45529
0.4274 0.0289713 0.0771251
0.0672328 0.563536 0.495996
0.642164 -0.293144 0.870228
-0.942963 -0.262571 -0.678724
1.52307 2.21643 0.414056
0.213292 1.13872 -0.569052
1.34835 1.42885 1.29048
0.185958 -0.164794 0.45784
1.75406 1.80516 0.416177
0.219801 -0.29068 1.46306
0.510778 -0.0909378 0.798682
1.56207 0.660156 0.359701
0.659464 1.37264 -0.598913
0.60966 1.23339 1.25142
1.10717 1.54702 0.0929871
1.40114 1.34973 0.519503
-0.388044 0.218804 0.904362
0.331817 0.33488 0.0602652
-0.317411 -0.325447 -1.41753
-0.118007 0.223115 -0.467197
0.61223 1.11352 0.834183
-0.419789 -0.777253 -0.0141184
0.843481 0.438812 -0.333996
-1.62509 -1.51965 -0.78711
1.21255 1.2719 -0.271139
-0.482615 -0.17764 -0.434309
1.77074 1.61768 0.85815
1.12592 0.925667 0.598935
1.22557 0.169707 -0.165269
-0.572114 0.51169 -0.430462
-0.0797925 -0.0494657 0.332468
-0.283696 -0.624221 -0.610209
0.415264 -0.467752 0.169172
-0.191127 0.260027 -0.71199
-0.525386 0.457757 -0.325999
-1.38593 -0.0119931 -0.755915
0.207244 -0.164854 0.616074
0.0321454 -0.146394 -0.908849
0.264409 -0.033854 -0.374721
-0.171448 -0.51005 0.0375648
1.52616 1.82755 0.436302
-0.537587 -0.188012 -2.05569
0.496551 0.855341 0.48574
0.462419 1.42966 0.253283
1.60843 1.1277 0.830331
0.787649 1.67566 0.260363
0.129624 1.16577 0.0357933
0.518475 -0.120532 0.825874
-0.867118 0.170881 0.329123
0.0491724 -0.488238 1.11563
0.600615 0.497739 0.0310061
-0.424483 -0.315269 -0.41686
0.637137 0.655597 0.151506
0.920964 0.560137 0.959789
0.963286 0.429365 0.334727
-0.307488 0.378266 -0.901286
-0.526411 -0.555136 0.205185
0.806036 -0.0367549 1.09038
0.697153 -0.118716 0.511764
0.919718 1.84807 0.0432651
0.326921 -0.0844452 0.505533
-1.12083 -0.620837 -0.453065
-0.605719 0.171386 -0.299984
-0.723457 -1.33444 -0.312275
0.254128 0.0755067 0.165228
0.646 0.0111215 0.764523
0.549912 -0.332338 0.263058
0.128285 -0.086402 -0.437457
0.938341 0.0559897 1.82866
1.26545 0.961338 1.04317
1.10796 0.613158 0.560168
0.873444 1.22425 -0.0253932
1.2274 0.184255 0.385024
0.901987 1.4015 1.08844
-0.447442 -0.804126 0.055568
1.55347 2.20182 0.779206
1.48271 1.31089 0.0870629
2.67931 1.97941 2.04171
-0.832807 -0.548506 1.42802
-0.0432059 -0.106956 0.192548
0.560804 0.134871 1.95418
-0.10946 -0.241701 -0.745342
-1.30578 -1.11376 -1.40282
-0.0486411 0.0532453 1.1817
0.225559 -0.555762 0.285141
0.754838 0.215158 0.246896
-0.033983 -0.0962886 -0.174708
2.1052 0.690495 1.21947
0.707787 -0.227017 1.04954
-0.805137 -1.63413 -1.32789
0.406811 0.230035 0.0639004
-1.139 -0.891273 -1.13087
0.325099 -0.461795 0.823403
-0.0589971 1.39019 -0.913096
0.0703715 -0.215575 -0.467536
-0.380756 0.231354 -0.59385
-0.112162 -0.704612 -0.473628
1.1192 1.76594 -0.559912
0.96609 0.874456 0.7147
0.206616 1.33675 -0.269397
-0.433685 0.25141 0.967179
0.779991 -0.64013 -0.387368
-0.859747 -0.661109 -0.790993
0.759983 -0.355949 2.02769
-0.805383 -0.222249 0.698988
-0.369312 1.12019 -1.38278
0.168982 0.964159 -0.0805168
0.75779 -0.204537 0.592857
-0.257684 -0.625702 0.5244
1.26197 0.139159 1.63965
0.712806 1.20549 0.315103
0.68492 0.327116 0.977792
1.10973 0.121965 0.449246
-0.27629 0.250278 -1.13281
-0.174332 1.86773 -0.0511119
1.33689 1.74488 0.499918
-1.16605 -1.19924 -0.725767
-0.561647 0.181417 -0.269596
1.5445 0.0817944 0.580041
0.299819 0.745583 -1.44078
-0.342546 -0.617105 0.0402187
0.965538 -0.380698 0.217558
1.26985 0.309173 0.829233
-0.728107 0.0963377 0.363261
-0.440102 0.48048 -0.432332
2.2086 1.08753 2.36732
0.00679603 0.596168 -0.716969
0.277031 0.38962 0.246476
0.371675 6.95363e-06 0.0635869
1.73617 0.610547 1.20793
2.98352 1.31375 1.69084
0.538668 0.273226 0.183636
0.392959 0.254199 0.230852
0.443713 -0.223631 -0.104445
1.35233 1.15424 2.55317
-0.787643 -0.884314 -0.344022
1.67931 0.335376 1.22739
1.18869 0.964624 0.539694
1.16291 1.68252 -0.202459
-0.632688 0.00272726 -1.0378
0.219126 -0.404225 0.162194
-0.225739 0.582706 -0.726411
0.0162697 -0.0136143 0.106145
-0.525129 0.707876 -1.1749
0.140712 0.354978 0.543235
-0.46099 -0.375476 -0.000739878
0.608436 1.08976 -0.101829
-1.82223 -1.32936 -1.13909
-0.36851 -0.324442 -0.0462888
-1.16244 -0.0086548 0.768657
0.471306 0.73773 1.47743
-0.172723 -0.334027 0.453646
-0.484719 0.185795 -0.561871
-1.0254 0.0558238 -0.108241
-0.398765 -1.28843 0.462062
0.682552 -0.161489 0.481489
0.163213 1.18655 0.737405
2.00306 0.925864 1.78023
-0.975158 -1.41806 -0.666747
0.243581 0.80174 -0.330925
-0.316321 -1.04517 0.298087
1.48159 1.13438 0.686626
-0.408659 -0.571551 -1.50371
0.691053 -0.448894 -0.202956
-0.555291 -0.543124 -1.0517
0.159198 -0.359309 0.185242
1.39151 1.32152 1.00395
0.080494 1.15204 -0.69086
1.08177 -0.0539901 -0.0707092
0.376335 0.0961295 -0.666776
0.247603 0.273751 -0.221277
0.0582175 0.112709 0.254072
-0.0062923 0.0642791 -0.429485
2.02576 2.06237 1.96674
-0.352393 0.929449 -0.197873
0.561278 0.75897 0.93057
0.61065 0.15774 0.793806
0.85609 1.18336 0.445829
0.413671 -0.0531567 -0.121134
1.88712 0.23777 1.17542
1.39034 0.997672 0.31531
0.207756 0.194456 0.371388
-0.826881 -1.39561 0.393551
-0.416351 -0.0279702 -0.837586
1.98105 1.93375 1.07205
-0.105336 -0.0732706 0.270243
-1.54594 -0.587316 -0.0694321
-1.63879 -1.1294 0.486108
0.109801 -1.08127 0.859117
1.01095 1.76046 -0.0724519
-1.23809 -0.570538 -0.891354
0.770801 0.538234 0.811221
1.0525 0.320547 1.45149
1.06037 0.761684 0.474992
0.785506 0.236164 0.355184
0.653183 0.18055 0.430605
0.821644 0.968796 1.09685
0.317722 -0.055374 -0.255918
0.184347 -0.309286 0.739017
0.781264 1.41672 -0.376078
0.0975383 -0.084389 0.0279374
1.67532 1.2615 0.418749
0.408584 0.864494 0.100929
0.278301 0.341332 0.535615
0.817401 1.36664 0.136939
0.00300414 0.0804093 0.184804
-0.667796 -0.426518 0.385966
-0.00607149 -0.751916 -0.137687
-0.294961 0.368628 0.675088
0.653256 -0.126622 -0.584511
0.411562 0.197998 0.889504
0.369347 -0.21096 0.338625
-0.445372 0.412593 -0.584922
0.235541 0.404401 0.16728
0.540327 0.043564 -0.00898772
1.30221 2.08477 1.10085
-0.0547614 -0.622543 -0.00324739
0.304352 0.542397 0.763823
1.13539 -0.0711824 0.591592
1.63381 0.244628 1.33352
-0.141705 -0.246363 -0.865235
-0.40443 0.786974 -1.27674
0.0350688 0.875559 -1.91208
0.244474 0.300268 -0.433485
0.37788 1.48471 0.374637
0.499383 0.175074 0.193878
0.235173 -0.438089 -0.38196
0.838415 -0.34697 0.430716
-1.43263 -0.914896 -0.914231
-0.0932579 -0.220911 0.43206
1.88623 0.766527 1.57322
1.09303 0.468293 1.31642
2.05866 0.912033 2.20329
-1.3562 -2.78306 0.637583
0.466718 0.173308 -0.0420994
0.0591731 0.170914 0.688566
2.23986 1.8868 2.25013
-0.0472371 0.265011 1.20788
-0.0504006 0.44376 0.991698
-0.66892 -1.18916 -0.439028
-0.630971 0.309899 -0.290091
0.505622 0.407236 1.01121
-0.219045 0.37884 0.415302
0.848746 0.590109 -0.117681
0.590159 1.21253 -0.522378
0.76661 0.12782 -0.238591
0.755942 0.736554 0.544956
-1.05803 -1.32621 -0.633333
1.17527 0.0178146 0.627538
0.980435 0.417314 0.968682
0.195823 -0.0926062 0.619284
0.198161 0.954022 0.300467
0.183307 -0.365226 1.03961
-0.767828 -0.104953 -1.37878
1.23233 1.12763 0.515406
0.0994569 1.09063 0.194147
0.86614 -0.0988249 1.26217
1.52051 1.45546 1.56527
1.5994 0.385144 1.03351
0.201256 0.350042 0.294261
0.334247 0.546429 0.914111
0.616004 0.139144 0.531067
0.156103 1.18915 -1.0585
-0.919728 -0.701854 -0.764311
0.0117983 0.385185 -0.798388
-0.523959 0.0662101 -1.24013
0.190489 -0.199391 -0.597733
0.389526 -0.475776 1.17946
1.52171 0.840141 0.226045
1.10685 1.11049 0.693477
1.56894 1.56671 1.35765
-0.357845 0.0761937 -0.194071
-0.414577 -1.04079 0.302358
0.481483 0.706824 0.91563
0.462529 1.14704 0.37964
0.671778 1.74838 -0.525163
-1.35337 -1.61472 -0.137753
0.188749 0.782454 -0.0595718
1.34375 0.806014 0.966985
0.53096 -0.247352 -1.07377
0.392997 -0.109805 0.100545
0.363057 0.148896 -0.205709
0.491512 1.43385 0.702278
-0.0859819 -0.207583 -0.117674
0.777512 0.227401 0.606956
-0.415255 -0.473711 -0.462924
0.366708 -0.321429 0.692178
0.28439 -0.173683 1.23877
0.163698 -0.233399 0.413554
-0.509954 0.117351 -0.52152
0.902002 0.793528 0.970038
0.421104 -0.0176831 0.562623
1.76698 1.50194 1.28802
1.97556 1.05478 1.17782
1.46647 0.387789 1.51094
-0.123254 0.516261 -0.757792
0.0452942 -0.0440895 0.105991
-0.352011 0.0407151 -0.935116
0.419818 1.05722 0.679633
1.89126 1.35692 2.56737
0.587202 0.353569 0.480909
0.924204 1.58434 -0.0573104
1.41944 1.15508 0.433424
0.368675 0.954394 0.493022
-0.729525 0.524504 -0.570315
-1.02004 0.293987 -1.56588
-1.51402 -0.771854 -0.445125
0.349129 0.973238 -0.221191
-0.611921 -0.765955 -0.195183
-0.121554 0.540998 0.225163
-0.598794 0.30517 -0.0214208
0.936159 0.882516 0.5224
0.108625 -0.313361 0.653807
0.884263 -0.46938 1.08688
0.119214 -0.0814319 1.04984
0.221837 -1.27149 0.64224
1.20634 1.67351 0.821385
1.26169 0.484609 1.56052
0.696021 0.676289 -0.916365
0.0543344 1.08431 0.491502
0.00507735 1.14085 -0.0675656
0.401637 0.9122 0.0208876
0.353499 1.07389 0.191894
1.40331 1.23254 1.1499
0.855439 1.0929 0.861598
-0.671715 -1.61897 0.70785
0.181551 -0.897789 0.295393
0.564013 -0.0945659 0.890647
0.154251 -0.276233 1.10024
0.890092 1.51299 0.946196
-0.463578 -0.930705 -0.607045
-0.274008 -1.13864 0.297126
0.650575 0.300119 0.219957
0.851051 0.315871 -0.256906
1.83303 0.684623 0.635802
0.12266 -0.119399 0.719214
1.55553 1.36921 1.52104
-0.810019 0.604657 -0.956996
1.12375 0.880563 0.366007
0.306631 -0.136122 0.581616
-0.756049 -1.07855 0.670248
1.51801 1.02634 1.09944
-0.590717 -0.753148 -0.734685
1.36121 0.442194 0.691991
-0.0976576 0.302579 -1.11074
1.14833 0.953305 0.72462
1.17658 1.16457 0.711811
-0.276428 -0.64249 -0.107846
0.652197 0.365186 1.22763
-0.543859 -0.533326 0.151153
1.06286 1.03178 1.38264
-0.00592619 -1.73705 -0.474555
-0.039982 0.879801 0.667187
-0.143275 0.411326 0.494508
0.0545654 -0.416796 0.348091
0.376197 -0.0232243 -0.451654
-0.729138 -1.00363 -0.250684
-0.766235 -1.42401 -0.111782
0.434457 0.514731 0.303425
1.53892 0.601108 0.0663198
0.374163 0.159016 0.395791
-0.125918 0.290985 -0.174067
0.966672 -0.239501 0.683663
-0.101998 0.340335 -0.548442
-0.70696 -1.71286 -0.406577
0.260977 -0.608917 -0.585335
-1.12014 0.0496428 -1.01135
1.58829 0.723833 1.76844
-0.188582 -0.801225 0.934249
0.385666 0.800186 0.247813
-0.57736 -1.38638 -0.834922
0.00670746 0.191899 0.506424
-1.09665 -0.335056 -0.216045
0.0352828 -0.345565 -0.589952
0.645091 0.734353 0.265061
0.546735 0.308233 0.770615
-0.772779 -1.70963 0.561468
-0.252886 0.40264 0.138789
-0.156635 0.59094 -0.371559
-0.207692 0.36836 -0.286873
-0.260367 0.344236 -0.417389
1.68468 1.38492 1.19459
-0.144883 0.446137 -0.401558
0.7931 0.25814 0.701574
0.0766495 1.03099 0.195371
0.917795 0.0372263 0.869159
0.802736 0.0695067 1.03286
0.802063 0.465685 0.393634
0.0552446 -0.500034 0.530801
0.914834 1.73122 0.651538
1.01476 -0.204963 0.664894
1.19571 0.957554 0.385586
-0.0640562 -0.0553545 0.860551
-0.111527 -0.883981 0.751273
-0.630524 -0.514265 -0.968156
-0.0438708 -0.19605 0.64183
1.28397 1.81723 0.507787
1.04047 0.811979 -0.0233088
1.49586 0.865511 1.03042
-0.0274306 0.057883 0.917659
0.748657 0.600951 2.18257
-0.935919 -0.328992 -1.32793
0.252351 -0.122219 0.742582
2.16975 1.18884 2.17489
0.178229 -0.303532 0.325665
0.334995 0.830433 1.00917
1.15638 0.273844 0.554741
-0.700937 -0.296971 -0.751064
0.231265 -0.0745796 0.234836
0.716254 1.51787 -0.483006
-0.102955 -0.832042 -0.547266
2.39224 1.60833 1.65053
1.17867 0.940443 0.93175
1.109 0.325554 0.551194
0.0124691 -0.184472 0.100386
0.478206 1.12177 0.407871
-0.18095 0.28604 0.155004
1.58303 1.58221 1.36899
0.858757 1.11497 -0.326776
0.914839 0.617262 1.00321
0.251014 1.17819 0.338751
0.634606 0.588088 1.01408
0.638663 0.896261 0.183022
0.525005 -0.310712 0.409233
-0.445851 -1.01442 0.00166589
1.31089 0.710986 0.533174
-0.307194 -0.0697533 0.828609
-0.863146 0.349293 -0.770464
-0.955318 -1.65038 0.0635625
1.27655 1.31678 0.62193
0.9215 0.377657 1.0493
0.990052 1.57894 -0.187309
1.29083 1.3563 0.804206
0.985919 0.435796 1.31981
0.698911 1.2178 0.00655584
0.0373013 -0.253527 0.325287
-1.33339 -1.15493 -0.0489382
-2.54084 -2.39428 -0.616525
1.0868 1.42151 1.25968
-0.0462625 -0.0746535 0.957697
-0.998451 -0.80649 -0.53529
1.45359 0.740442 0.848689
0.586939 0.440301 1.18162
-0.979723 -0.0527615 0.221566
-0.320214 -0.325879 0.0846673
1.20189 1.07202 0.125683
0.658157 -0.650309 -0.361989
1.0227 1.22458 0.865968
-0.264622 -0.548548 0.253785
0.789495 0.765095 2.25141
0.260614 0.357642 0.693494
2.4475 1.3191 2.88976
1.42733 0.000819544 1.65192
-0.202072 0.665634 -0.806073
1.1802 1.23608 2.01681
0.801576 0.27212 -0.362166
-0.457283 0.122713 0.556025
-0.802774 -0.382805 -0.186049
-0.439013 -0.358047 0.850976
0.681103 0.830211 0.958031
-1.12156 -1.20973 -0.258415
1.61113 1.2188 2.50886
1.08626 0.814461 0.799168
0.499142 1.25967 0.271219
1.48958 0.821137 -0.11371
0.51579 -0.551555 0.746607
-0.244508 -0.40797 -0.95165
0.227649 -0.446513 0.132557
0.765893 1.04638 1.06614
1.83634 1.11985 0.981804
0.257345 -0.140058 0.764772
0.0946779 0.184316 -1.01589
1.5329 1.7724 1.23214
-0.651186 -0.176244 0.127706
0.154511 -0.343738 0.888894
-1.14597 -1.3837 -0.20648
0.480677 0.579403 0.67715
0.329088 0.510223 1.00427
0.277499 1.73304 0.866443
1.72564 0.934406 0.981035
0.276661 1.00131 0.162976
0.239501 0.36662 -0.287371
0.43977 0.537755 -0.795788
-0.246508 0.311084 0.33861
-0.0806912 0.0270046 -1.04172
0.826651 1.08456 -0.775849
1.01141 0.133091 0.963942
-1.26258 -1.10476 -1.75216
0.768548 0.857615 0.273022
1.46097 0.836305 0.533513
0.584388 1.22135 -0.423781
1.3333 0.78406 -0.168097
-0.278967 -1.20792 0.847364
-0.544837 0.436982 -0.618237
0.0629254 0.0814228 0.257685
-0.126252 1.46202 0.284859
1.44511 0.934588 0.790751
0.306971 0.388614 0.462418
0.0432245 -0.337734 0.690403
0.290656 0.558739 0.721117
1.02248 0.784708 0.333893
0.211114 1.04786 -0.830775
1.80176 0.680377 1.52665
1.30436 1.00944 -0.259372
-0.795359 -0.0472741 0.303373
0.24076 -0.251119 -0.793206
1.04146 1.2517 1.24248
1.50662 0.502522 1.27034
-0.88067 -0.856006 0.153745
2.66042 1.97636 1.80683
-0.739527 -0.674224 -1.18923
-0.916527 -1.17209 0.110594
1.46465 0.91022 1.49265
-0.0657932 1.06098 -1.35714
0.687891 0.0770767 1.14666
-1.61295 0.466321 -0.968106
-0.894378 -0.206447 -0.834336
0.744661 0.249069 0.636178
1.19376 1.52836 1.00613
0.926573 0.977263 0.0791466
0.397457 0.536668 0.342248
0.0913799 -0.447294 1.34573
0.865934 1.43857 -0.313066
0.562442 0.0819568 -0.338238
1.71564 1.52766 1.46056
-0.0348933 -0.0851903 -0.335651
-0.270819 -0.407729 0.266472
0.215664 0.0097358 1.46751
1.32482 1.8563 0.291212
-0.838444 -0.636157 -1.32082
-0.690337 -0.610241 -0.000695778
-0.374241 0.467388 -0.407311
0.288797 -0.130412 -0.484211
1.5857 0.748931 0.525478
-0.86822 -0.298501 -0.373233
0.899869 0.845526 -0.133332
1.39465 0.0814525 0.568396
-0.452195 -0.0390976 0.482146
0.469455 -0.237609 0.502513
1.14798 -0.580248 1.53683
0.956174 0.0417024 -0.333962
1.06947 0.56912 1.41862
0.305699 0.360964 0.576371
-0.592102 -0.231794 -0.0292815
-0.972411 -0.328037 -0.189727
-0.167665 -0.0372124 0.19741
0.0533818 -0.143825 0.426489
0.699648 0.45039 0.15648
0.535915 -0.395707 0.335408
0.818864 0.153187 0.233143
-0.525673 -0.812405 0.55368
-0.032673 0.464915 0.31561
1.18554 1.10633 1.07599
-1.24946 -0.642137 -1.216
0.4432 0.323063 -0.414701
1.41553 0.54603 0.671585
0.0926302 0.597354 0.81643
1.38676 0.542488 0.450133
0.538478 1.05031 0.679725
0.56351 0.118162 0.439382
1.28789 0.327798 0.951834
0.881761 0.295162 0.273698
1.25535 1.59013 1.111
0.864578 0.574259 0.831469
0.085931 -0.265985 0.489991
0.0844473 -0.655783 0.897446
0.0058701 0.542374 -0.530392
-0.0573933 0.0758224 0.557011
0.797996 0.970881 -0.0819171
0.910006 0.797676 0.726059
0.0929495 -0.297613 1.0316
0.763711 -0.0789526 1.77873
0.0867099 -0.263775 0.14981
0.328282 0.104144 0.265492
0.61556 0.646742 0.31507
-1.53937 -1.91096 -1.30513
0.0894994 0.20705 0.855125
0.156821 0.17255 -0.691609
0.326835 0.564577 0.920943
